"last_name, first_name",player_id,year,pa,strikeout,k_percent,bb_percent,whiff_percent,swing_percent,xwoba,xba,xslg,hard_hit_percent,barrel_batted_rate,avg_swing_speed,fast_swing_rate,swords,squared_up_contact,woba
"Emanuel, Kent",592288,2026,23,4,17.4,13.0,20.9,44.8,0.307,0.204,0.32,40.0,6.7,74.9,58.5,0.0,27.3,0.379
"Snell, Blake",605483,2026,63,20,31.7,9.5,36.6,52.2,0.229,0.189,0.228,10.8,0.0,71.1,18.9,8.0,24.7,0.228
"Mejia, Juan",675848,2026,240,50,20.8,12.5,25.3,47.3,0.336,0.265,0.392,38.0,3.8,71.6,22.3,10.0,30.4,0.341
"Dobnak, Randy",677976,2026,176,25,14.2,9.1,18.7,46.0,0.328,0.29,0.385,40.7,3.7,72.7,28.6,11.0,37.1,0.285
"Leiter, Jack",683004,2026,355,83,23.4,9.9,25.4,47.9,0.336,0.257,0.43,39.9,10.3,72.4,27.9,15.0,30.9,0.34
"Pushard, Matt",690155,2026,32,6,18.8,12.5,16.0,41.7,0.347,0.278,0.39,50.0,0.0,71.4,23.3,2.0,37.5,0.298
"Murphy, Owen",702566,2026,29,6,20.7,6.9,17.1,60.3,0.353,0.28,0.451,55.0,10.0,72.3,29.7,1.0,31.5,0.31
"Alexander, Tyler",641302,2026,234,47,20.1,7.3,21.3,46.4,0.28,0.233,0.326,32.9,3.6,72.2,26.2,3.0,32.0,0.299
"Sproat, Brandon",687075,2026,414,100,24.2,11.6,25.1,45.9,0.337,0.245,0.406,43.1,8.7,71.7,21.9,17.0,29.3,0.35
"Holmes, Clay",605280,2026,278,50,18.0,8.3,20.0,46.9,0.311,0.259,0.372,41.9,4.9,72.3,28.4,4.0,33.2,0.262
"Sands, Cole",663485,2026,56,11,19.6,8.9,23.3,49.3,0.364,0.268,0.507,56.4,10.3,72.4,29.8,1.0,43.1,0.409
"Henry, Cole",669371,2026,71,15,21.1,11.3,23.3,47.2,0.374,0.256,0.478,40.9,13.6,71.9,22.7,3.0,32.3,0.409
"Márquez, Germán",608566,2026,236,37,15.7,10.2,19.0,47.5,0.362,0.267,0.484,43.9,9.8,72.4,31.1,10.0,30.1,0.37
"Martinez, Justin",679885,2026,5,0,0.0,20.0,0.0,36.8,0.396,0.164,0.268,0.0,0.0,68.6,16.7,0.0,16.7,0.285
"Peoples, Ben",687239,2026,57,8,14.0,10.5,24.2,53.1,0.305,0.217,0.369,26.2,7.1,72.3,26.4,2.0,23.3,0.319
"Sullivan, Sean",807743,2026,114,16,14.0,9.6,16.2,47.8,0.335,0.241,0.431,34.5,9.5,72.2,28.2,1.0,34.6,0.461
"Vivas, Jorbit",678391,2026,18,0,0.0,5.6,0.0,53.8,0.542,0.395,0.846,53.3,25.0,72.2,40.0,0.0,60.0,0.601
"Bradish, Kyle",680694,2026,562,124,22.1,10.3,24.4,44.7,0.312,0.239,0.376,37.4,7.5,72.0,24.9,28.0,33.0,0.317
"Burgos, Raymond",670103,2026,34,5,14.7,2.9,15.7,58.8,0.296,0.228,0.447,35.7,7.1,72.4,33.8,1.0,34.5,0.193
"Iglesias, Raisel",628452,2026,188,49,26.1,7.4,30.2,52.9,0.286,0.223,0.361,37.1,9.8,71.9,27.6,0.0,26.8,0.296
"Klein, John",804619,2026,19,2,10.5,21.1,10.3,47.6,0.352,0.183,0.291,38.5,7.7,71.5,22.9,0.0,15.6,0.368
"Sandoval, Patrick",663776,2026,160,35,21.9,10.0,25.5,47.3,0.334,0.277,0.412,32.4,5.6,72.4,29.3,3.0,32.6,0.383
"Paddack, Chris",663978,2026,267,40,15.0,7.1,21.4,50.1,0.342,0.28,0.45,36.9,8.4,72.3,27.7,6.0,33.7,0.369
"Gómez, Yoendrys",672782,2026,243,52,21.4,11.9,24.9,47.2,0.342,0.247,0.435,44.1,8.8,72.2,27.4,5.0,31.1,0.299
"Nance, Tommy",667297,2026,194,50,25.8,9.3,25.5,48.0,0.307,0.25,0.383,34.1,5.6,71.8,23.7,12.0,31.3,0.288
"Cecconi, Slade",677944,2026,488,88,18.0,7.6,20.3,46.8,0.338,0.271,0.452,40.0,8.9,71.9,24.7,9.0,36.4,0.351
"Imai, Tatsuya",837227,2026,288,80,27.8,14.6,32.3,43.7,0.338,0.228,0.402,46.3,10.5,72.2,29.0,8.0,32.5,0.322
"Henriquez, Edgardo",683618,2026,202,54,26.7,11.4,29.6,48.5,0.253,0.177,0.241,25.8,2.5,71.9,23.5,9.0,21.9,0.252
"Sandlin, Nick",680704,2026,40,6,15.0,12.5,31.1,38.9,0.377,0.238,0.463,38.5,7.7,72.4,26.3,0.0,35.9,0.418
"Ponce, Cody",664074,2026,10,3,30.0,10.0,51.7,61.7,0.243,0.177,0.277,33.3,0.0,71.9,28.0,2.0,30.8,0.196
"Peralta, Freddy",642547,2026,573,123,21.5,9.2,26.4,47.1,0.312,0.242,0.383,39.4,6.1,71.8,23.9,21.0,30.5,0.348
"Antone, Tejay",622088,2026,175,38,21.7,7.4,25.9,47.3,0.293,0.221,0.362,34.7,7.1,72.1,25.5,6.0,34.5,0.29
"Senga, Kodai",673540,2026,234,60,25.6,15.0,28.5,45.5,0.34,0.233,0.401,38.2,11.8,72.1,25.3,13.0,31.0,0.379
"Anderson, Shaun",641312,2026,93,17,18.3,10.8,26.6,45.0,0.391,0.303,0.515,38.5,9.2,73.0,30.5,3.0,32.4,0.38
"Martin, Trevor",694680,2026,54,7,13.0,7.4,23.3,47.8,0.385,0.274,0.54,48.8,12.2,72.3,29.1,2.0,41.3,0.409
"Flaherty, Jack",656427,2026,389,102,26.2,10.8,27.1,45.1,0.323,0.236,0.394,46.2,8.4,73.0,32.9,16.0,28.9,0.329
"Santos, Gregory",666619,2026,22,1,4.5,13.6,8.1,43.0,0.376,0.327,0.428,55.6,0.0,72.8,31.4,0.0,40.6,0.363
"Wiemer, Joey",686894,2026,16,0,0.0,12.5,0.0,40.0,0.473,0.423,0.632,30.8,7.7,72.5,23.5,0.0,52.9,0.618
"Rogers, Taylor",573124,2026,208,39,18.8,10.1,17.3,42.2,0.313,0.248,0.365,26.9,5.5,71.4,22.3,6.0,36.8,0.337
"Severino, Luis",622663,2026,271,65,24.0,11.4,23.0,47.6,0.318,0.231,0.388,38.7,8.7,71.7,23.3,10.0,29.2,0.345
"Baumler, Carter",691945,2026,27,6,22.2,22.2,30.0,42.7,0.359,0.206,0.353,50.0,7.1,72.5,26.2,2.0,30.0,0.37
"Shuster, Jared",694363,2026,44,4,9.1,13.6,13.6,39.8,0.311,0.239,0.367,50.0,2.9,72.8,33.9,0.0,40.7,0.362
"Domínguez, Seranthony",622554,2026,194,51,26.3,14.4,28.4,45.2,0.329,0.226,0.393,36.3,9.0,71.7,23.9,6.0,26.5,0.338
"Imanaga, Shota",684007,2026,578,140,24.2,5.5,29.4,51.5,0.302,0.235,0.411,35.4,10.0,72.6,31.3,16.0,31.9,0.307
"Roa, Christian",685005,2026,43,6,14.0,16.3,24.7,45.5,0.415,0.296,0.491,63.0,7.4,72.0,25.7,1.0,32.1,0.423
"Gordon, Colton",676467,2026,50,11,22.0,6.0,17.2,49.0,0.41,0.327,0.587,48.6,11.4,70.6,13.2,4.0,25.6,0.588
"Cease, Dylan",656302,2026,553,201,36.3,10.7,34.8,46.1,0.254,0.183,0.276,32.4,4.9,71.7,26.5,19.0,24.6,0.248
"Abner, Philip",691769,2026,64,6,9.4,12.5,18.1,47.3,0.401,0.305,0.539,40.0,12.0,72.6,29.5,1.0,38.4,0.335
"Greene, Hunter",668881,2026,121,33,27.3,7.4,27.2,53.3,0.325,0.268,0.429,46.8,5.1,72.3,23.6,8.0,29.4,0.322
"Duarte, Daniel",650960,2026,76,19,25.0,6.6,22.9,54.5,0.241,0.188,0.282,21.6,5.9,71.9,29.8,3.0,17.8,0.169
"Dreyer, Jack",676263,2026,208,64,30.8,8.2,28.9,48.5,0.275,0.211,0.348,40.5,7.2,72.0,24.7,4.0,30.2,0.261
"Mahle, Tyler",641816,2026,473,108,22.8,8.5,22.7,45.3,0.315,0.247,0.405,37.8,7.5,72.3,27.5,10.0,33.9,0.324
"Rolison, Ryan",669020,2026,202,47,23.3,11.4,21.3,44.3,0.316,0.241,0.377,41.5,6.8,72.5,28.8,9.0,31.4,0.303
"Sommers, Drew",805427,2026,103,38,36.9,10.7,34.1,50.2,0.229,0.172,0.234,22.6,1.9,70.4,14.0,9.0,20.3,0.296
"Kolek, Stephen",663568,2026,224,34,15.2,5.4,19.8,48.3,0.303,0.262,0.38,36.9,6.9,71.9,23.3,9.0,32.8,0.328
"Roycroft, Chris",688297,2026,116,17,14.7,9.5,17.9,47.9,0.398,0.31,0.539,45.9,12.9,71.6,20.7,2.0,39.3,0.445
"Clarke, Taylor",664199,2026,215,31,14.4,4.7,20.5,48.4,0.312,0.256,0.415,32.7,8.2,72.7,26.7,5.0,31.6,0.243
"Kerkering, Orion",689147,2026,218,54,24.8,11.9,26.7,43.0,0.275,0.195,0.293,29.1,5.3,71.3,21.2,10.0,26.4,0.284
"VanWey, Logan",701121,2026,22,5,22.7,0.0,25.0,50.0,0.239,0.237,0.344,41.2,5.9,72.2,18.2,0.0,40.0,0.212
"Strider, Spencer",675911,2026,165,46,27.9,12.1,30.7,46.6,0.29,0.188,0.359,36.7,11.2,72.3,25.1,7.0,28.6,0.355
"Kranick, Max",668820,2026,61,7,11.5,9.8,27.0,51.6,0.345,0.271,0.42,29.8,6.4,71.8,25.5,1.0,35.1,0.409
"Morris, Andrew",702193,2026,252,56,22.2,8.7,21.9,47.0,0.268,0.217,0.309,33.1,3.5,71.5,26.4,7.0,26.1,0.285
"Pérez, Cionel",672335,2026,181,41,22.7,8.8,25.2,45.9,0.346,0.265,0.47,50.0,13.0,71.9,24.8,12.0,36.3,0.331
"Doval, Camilo",666808,2026,217,48,22.1,12.0,26.4,46.4,0.297,0.214,0.332,47.9,6.5,72.1,24.1,8.0,33.9,0.316
"Martinez, Seth",661527,2026,6,1,16.7,0.0,36.4,50.0,0.36,0.283,0.38,50.0,0.0,68.6,12.5,1.0,60.0,0.48
"Wolfram, Grant",664991,2026,169,43,25.4,7.7,25.2,48.1,0.301,0.237,0.368,35.8,6.5,71.3,22.8,9.0,28.9,0.344
"Zuber, Tyler",676604,2026,108,30,27.8,4.6,24.4,48.5,0.271,0.226,0.333,46.5,2.8,72.1,25.1,5.0,31.0,0.325
"De los Santos, Yerry",660787,2026,58,11,19.0,8.6,16.5,50.2,0.293,0.261,0.342,40.5,0.0,71.9,25.5,3.0,37.5,0.245
"Detmers, Reid",672282,2026,579,167,28.8,7.4,29.6,49.2,0.283,0.214,0.363,38.2,8.3,72.0,26.2,33.0,33.5,0.274
"Soriano, George",666277,2026,233,55,23.6,9.9,29.9,48.3,0.319,0.23,0.407,42.1,9.8,72.4,32.7,7.0,33.0,0.302
"Luzardo, Jesús",666200,2026,621,185,29.8,7.4,31.9,46.5,0.264,0.207,0.304,31.8,5.8,71.6,22.1,32.0,29.6,0.286
"Watson, Ryan",670245,2026,253,47,18.6,7.5,23.9,49.3,0.351,0.274,0.468,37.5,10.9,71.2,22.8,10.0,36.1,0.319
"Montgomery, Mason",682254,2026,210,82,39.0,10.0,32.9,49.7,0.247,0.183,0.288,40.2,8.4,71.5,22.5,12.0,24.8,0.258
"Curtis, Khristian",694753,2026,17,4,23.5,11.8,25.8,45.6,0.327,0.246,0.399,27.3,9.1,69.2,3.4,0.0,38.1,0.187
"Heuer, Codi",676051,2026,46,6,13.0,10.9,25.3,43.9,0.335,0.269,0.382,52.9,2.9,71.4,24.4,1.0,45.8,0.355
"Brogdon, Connor",641401,2026,67,14,20.9,4.5,26.7,49.1,0.345,0.258,0.514,44.0,14.0,71.8,25.9,2.0,36.4,0.335
"Ross, Joe",605452,2026,57,7,12.3,10.5,30.0,53.7,0.391,0.307,0.524,36.4,11.4,72.7,25.0,2.0,31.4,0.404
"Fisher, Braydon",680755,2026,260,58,22.3,13.1,26.9,44.2,0.312,0.223,0.36,37.0,10.3,71.7,25.5,14.0,31.6,0.294
"Mize, Casey",663554,2026,408,95,23.3,6.1,25.3,48.2,0.283,0.229,0.361,36.9,7.7,72.8,32.3,12.0,32.0,0.273
"Rodón, Carlos",607074,2026,211,56,26.5,13.3,29.0,47.8,0.301,0.212,0.341,36.5,6.3,72.3,27.6,13.0,27.0,0.278
"Lovelady, Richard",663992,2026,146,27,18.5,14.4,22.9,44.5,0.361,0.282,0.423,32.6,6.5,72.1,25.5,5.0,32.9,0.371
"Hoffmann, Andrew",694851,2026,59,12,20.3,13.6,19.1,38.7,0.336,0.243,0.399,43.2,8.1,72.2,32.4,1.0,32.1,0.433
"Morán, Jovani",663558,2026,216,58,26.9,11.6,32.3,45.9,0.277,0.193,0.323,29.0,6.9,71.7,22.4,5.0,35.2,0.267
"Freeland, Kyle",607536,2026,554,103,18.6,5.1,22.5,50.9,0.346,0.282,0.476,42.4,10.6,72.8,33.1,21.0,36.8,0.371
"Fernández, Julian",642759,2026,18,3,16.7,11.1,27.6,40.8,0.301,0.204,0.414,53.8,7.7,72.6,33.3,0.0,40.0,0.29
"Alexander, Jason",669920,2026,84,14,16.7,9.5,20.3,44.5,0.332,0.257,0.415,37.7,10.0,71.5,16.0,2.0,36.7,0.391
"Nardi, Andrew",677053,2026,99,27,27.3,11.1,30.4,47.9,0.348,0.241,0.466,45.0,13.3,71.0,22.2,4.0,35.1,0.343
"Kilian, Caleb",668873,2026,209,56,26.8,10.5,27.9,48.7,0.292,0.216,0.36,34.9,8.6,71.7,22.3,10.0,31.8,0.302
"France, J.P.",641585,2026,31,4,12.9,16.1,15.1,45.3,0.42,0.293,0.534,42.9,14.3,74.0,50.0,0.0,30.0,0.358
"Holderman, Colin",670059,2026,199,46,23.1,8.5,27.6,43.9,0.296,0.212,0.332,42.5,7.9,71.7,21.3,10.0,33.0,0.233
"Hernández, Elieser",622694,2026,28,6,21.4,14.3,28.8,47.3,0.247,0.184,0.26,27.8,5.6,72.7,28.0,0.0,25.0,0.318
"Kelly, Merrill",518876,2026,565,84,14.9,10.1,21.3,49.0,0.399,0.305,0.554,44.0,12.6,72.7,31.3,20.0,34.9,0.366
"Schweitzer, Tyler",805326,2026,102,13,12.7,9.8,23.1,53.6,0.348,0.281,0.44,48.1,9.0,72.3,25.9,1.0,31.8,0.3
"Frasso, Nick",693308,2026,28,7,25.0,3.6,27.8,48.6,0.356,0.282,0.485,26.3,10.5,70.5,21.3,3.0,28.6,0.358
"Eisert, Brandon",685126,2026,150,40,26.7,8.0,30.2,45.5,0.291,0.229,0.37,38.8,7.1,72.0,28.3,4.0,32.6,0.347
"Bender, Anthony",669622,2026,140,41,29.3,8.6,24.0,40.3,0.254,0.194,0.284,33.3,7.1,70.8,15.0,7.0,38.2,0.224
"Hanner, Bradley",690440,2026,4,2,50.0,0.0,25.0,66.7,0.255,0.161,0.454,50.0,50.0,74.7,60.0,0.0,33.3,0.512
"Feltner, Ryan",663372,2026,408,64,15.7,9.6,23.8,48.3,0.358,0.267,0.498,38.8,11.2,72.6,29.4,9.0,32.7,0.375
"Kelly, Kevin",687330,2026,215,45,20.9,4.2,19.8,48.7,0.292,0.262,0.368,44.3,5.8,72.3,26.2,6.0,36.6,0.235
"Sheehan, Emmet",686218,2026,412,108,26.2,7.3,30.8,50.2,0.308,0.23,0.403,39.1,10.5,72.2,27.7,26.0,29.9,0.345
"Mantiply, Joe",573009,2026,71,16,22.5,5.6,16.8,49.6,0.332,0.266,0.446,44.0,10.0,73.2,37.5,1.0,34.1,0.29
"Estrada, Lazaro",681751,2026,57,9,15.8,17.5,23.8,44.3,0.333,0.217,0.366,40.5,8.1,71.1,15.9,2.0,34.3,0.294
"Bido, Osvaldo",674370,2026,81,11,13.6,12.3,23.4,45.7,0.377,0.273,0.449,41.1,8.9,71.3,17.2,7.0,36.2,0.344
"Fluharty, Mason",689254,2026,213,56,26.3,9.4,28.5,49.3,0.259,0.189,0.314,32.4,7.4,72.2,29.7,3.0,28.4,0.291
"Hamilton, Ian",641656,2026,23,4,17.4,13.0,28.6,45.7,0.342,0.307,0.356,50.0,0.0,72.2,27.8,1.0,42.3,0.355
"Knack, Landon",689017,2026,35,6,17.1,5.7,21.7,47.6,0.34,0.22,0.494,46.2,15.4,71.9,26.3,1.0,44.4,0.407
"Blubaugh, AJ",805123,2026,324,79,24.4,10.2,28.8,49.0,0.306,0.218,0.379,36.7,9.6,71.5,22.2,13.0,28.7,0.294
"Barco, Hunter",682995,2026,87,14,16.1,14.9,16.3,38.5,0.381,0.28,0.466,43.1,7.0,72.0,20.3,2.0,34.9,0.41
"Blewett, Scott",656240,2026,69,10,14.5,7.2,21.6,54.7,0.312,0.266,0.343,31.5,3.7,71.0,21.4,1.0,28.4,0.309
"Crochet, Garrett",676979,2026,138,37,26.8,8.0,24.0,49.0,0.344,0.262,0.442,45.3,10.7,72.3,28.7,3.0,29.5,0.358
"Wells, Tyler",669330,2026,241,61,25.3,6.6,30.4,52.1,0.277,0.21,0.365,32.7,7.4,72.0,27.1,8.0,28.6,0.275
"Vodnik, Victor",680767,2026,197,31,15.7,12.2,23.7,47.1,0.319,0.245,0.368,40.3,5.8,72.2,27.3,6.0,34.4,0.344
"Rojas, Kendry",696070,2026,130,34,26.2,16.9,28.1,43.8,0.288,0.179,0.282,31.5,6.8,71.2,22.7,2.0,25.9,0.321
"Rutledge, Jackson",671131,2026,12,2,16.7,16.7,34.8,52.3,0.418,0.315,0.527,37.5,12.5,75.2,47.6,0.0,21.4,0.651
"Smith-Shawver, AJ",700363,2026,40,7,17.5,12.5,21.4,48.6,0.363,0.292,0.441,35.7,7.1,72.1,29.0,2.0,30.0,0.297
"Bazardo, Eduard",660825,2026,239,57,23.8,6.7,21.6,46.2,0.316,0.253,0.416,37.6,8.5,72.0,25.3,8.0,33.2,0.315
"Klein, Will",694361,2026,189,49,25.9,11.1,23.9,43.3,0.288,0.235,0.302,37.9,2.6,70.7,17.6,8.0,32.4,0.318
"Ríos, Yacksel",605441,2026,5,2,40.0,0.0,33.3,46.2,0.335,0.345,0.43,33.3,0.0,72.8,16.7,0.0,50.0,0.0
"Estes, Joey",683155,2026,18,4,22.2,5.6,32.4,52.1,0.263,0.237,0.351,30.8,7.7,,,,,0.431
"Armstrong, Shawn",542888,2026,146,33,22.6,13.0,24.1,48.6,0.309,0.209,0.363,34.8,6.5,71.3,16.9,1.0,25.5,0.324
"Chandler, Bubba",696149,2026,528,108,20.5,12.1,23.1,47.9,0.311,0.23,0.365,37.1,5.7,72.0,25.1,16.0,31.0,0.304
"Rangel, Alan",660604,2026,123,29,23.6,10.6,24.4,50.1,0.317,0.249,0.37,30.4,5.1,72.2,25.6,5.0,27.4,0.377
"Hoffman, Jeff",656546,2026,248,85,34.3,9.7,37.2,50.1,0.297,0.214,0.334,38.3,9.8,71.9,25.3,22.0,28.4,0.311
"Walker, Josh",677020,2026,70,15,21.4,8.6,19.4,50.4,0.275,0.226,0.326,39.6,4.2,71.9,29.4,0.0,31.6,0.304
"Milner, Hoby",571948,2026,149,18,12.1,6.0,17.1,45.4,0.351,0.296,0.45,37.8,5.9,71.7,25.6,4.0,37.2,0.31
"Bruihl, Justin",677865,2026,274,42,15.3,8.8,17.4,45.1,0.304,0.248,0.337,34.5,4.0,72.1,26.2,5.0,28.9,0.312
"Fernandez, Ryan",681676,2026,59,20,33.9,11.9,36.0,47.0,0.291,0.213,0.339,34.4,6.3,71.8,25.0,5.0,24.2,0.287
"Cosgrove, Tom",676680,2026,51,10,19.6,5.9,13.2,50.6,0.27,0.22,0.33,35.1,5.4,71.7,17.1,0.0,33.8,0.332
"Myers, Tobias",668964,2026,198,33,16.7,6.6,17.8,52.3,0.332,0.277,0.439,46.1,6.0,71.9,24.2,3.0,37.6,0.359
"Snelling, Robby",702281,2026,22,2,9.1,18.2,28.6,48.8,0.371,0.261,0.445,43.8,6.3,73.8,48.6,2.0,38.5,0.399
"Miller, Erik",669062,2026,173,57,32.9,14.5,35.5,39.5,0.273,0.182,0.274,27.3,5.8,71.8,22.0,15.0,23.3,0.278
"Williamson, Brandon",682227,2026,128,19,14.8,15.6,24.1,43.2,0.389,0.276,0.486,41.9,10.5,72.5,27.6,5.0,33.1,0.36
"Phillips, Connor",683175,2026,133,28,21.1,21.1,26.8,40.3,0.377,0.24,0.407,40.5,9.5,71.2,16.7,1.0,34.0,0.346
"Allen, Logan",671106,2026,42,10,23.8,9.5,18.5,45.5,0.312,0.226,0.427,53.6,10.7,71.7,19.7,4.0,35.7,0.384
"Jump, Gage",695611,2026,338,85,25.1,10.9,25.3,48.0,0.318,0.251,0.381,39.4,5.6,71.8,22.3,12.0,31.1,0.33
"Trivino III, Lou",642152,2026,36,7,19.4,19.4,31.7,43.8,0.33,0.217,0.323,38.1,4.8,71.8,21.8,4.0,25.6,0.465
"Hollowell, Gavin",668970,2026,62,13,21.0,12.9,27.8,42.7,0.351,0.24,0.447,35.0,15.0,71.8,22.8,2.0,36.2,0.315
"Chapman, Aroldis",547973,2026,175,53,30.3,10.9,28.5,52.4,0.263,0.186,0.297,37.3,7.8,71.9,25.8,5.0,27.7,0.275
"Mayza, Tim",641835,2026,224,56,25.0,6.3,24.3,45.0,0.279,0.227,0.367,43.8,7.2,72.3,27.4,7.0,32.5,0.281
"Banda, Anthony",607455,2026,156,33,21.2,9.6,26.7,44.9,0.325,0.234,0.375,39.0,7.1,71.8,24.8,6.0,33.9,0.334
"Garcia, Rico",670329,2026,210,55,26.2,8.6,32.7,49.1,0.277,0.209,0.353,35.3,6.6,71.9,26.8,8.0,32.7,0.256
"Beck, Tristan",663941,2026,64,6,9.4,7.8,17.4,49.0,0.33,0.249,0.434,40.4,9.6,71.3,16.7,1.0,38.2,0.367
"Krook, Matt",640454,2026,46,9,19.6,21.7,25.7,41.3,0.417,0.293,0.448,36.0,4.0,71.0,24.6,2.0,28.9,0.423
"Fedde, Erick",607200,2026,498,82,16.5,8.4,18.2,42.3,0.329,0.257,0.434,39.6,7.6,72.5,29.9,15.0,36.1,0.339
"Jones, Jared",683003,2026,269,72,26.8,7.8,31.0,48.3,0.297,0.219,0.392,39.1,8.6,72.5,28.3,9.0,33.1,0.317
"Juenger, Hayden",696522,2026,72,6,8.3,9.7,15.6,45.9,0.374,0.314,0.488,36.8,8.8,72.1,21.3,1.0,41.8,0.378
"Weiman, Blake",676620,2026,24,5,20.8,0.0,21.4,44.2,0.238,0.238,0.309,21.1,5.3,73.3,45.7,1.0,37.0,0.309
"Estrada, Jeremiah",669093,2026,122,37,30.3,13.1,31.9,47.4,0.287,0.207,0.315,34.8,7.2,70.9,22.4,1.0,26.5,0.26
"Mey, Luis",682825,2026,81,30,37.0,14.8,36.6,40.2,0.318,0.179,0.355,44.4,12.1,71.9,26.6,4.0,28.6,0.295
"Barlow, Scott",605130,2026,153,29,19.0,13.1,33.1,42.7,0.358,0.236,0.448,36.1,9.3,71.8,26.0,5.0,37.7,0.341
"Uberstine, Tyler",700413,2026,11,2,18.2,9.1,30.8,57.8,0.378,0.274,0.551,37.5,12.5,72.3,27.3,1.0,18.8,0.445
"Bernardino, Brennan",657514,2026,215,37,17.2,6.5,21.8,46.4,0.312,0.259,0.399,32.5,5.7,71.4,20.3,7.0,37.7,0.304
"Erceg, Lucas",668674,2026,208,31,14.9,13.9,20.8,47.2,0.34,0.263,0.361,38.7,4.9,71.3,19.6,4.0,29.8,0.391
"Voth, Austin",608723,2026,56,3,5.4,10.7,15.6,44.7,0.402,0.338,0.557,40.4,8.5,71.9,25.6,1.0,43.6,0.458
"Fleming, Josh",676596,2026,18,1,5.6,11.1,13.5,48.1,0.47,0.36,0.632,64.3,7.1,72.1,17.2,1.0,40.0,0.479
"Sanders, Cam",676742,2026,85,23,27.1,15.3,37.9,47.6,0.322,0.22,0.332,28.3,6.5,71.9,30.8,6.0,26.9,0.305
"Hoffman, Nolan",676510,2026,21,2,9.5,14.3,22.9,42.7,0.341,0.3,0.384,31.3,0.0,72.6,41.9,1.0,20.0,0.354
"Civale, Aaron",650644,2026,410,74,18.0,6.8,21.2,46.8,0.336,0.268,0.452,43.8,9.2,71.8,25.4,8.0,37.8,0.372
"Leahy, Kyle",681517,2026,516,111,21.5,6.8,22.5,46.6,0.34,0.274,0.452,48.4,10.2,72.6,30.7,27.0,36.5,0.321
"Walker, Taijuan",592836,2026,115,17,14.8,9.6,16.8,45.0,0.411,0.312,0.582,36.0,12.9,71.5,21.3,2.0,35.9,0.454
"Borucki, Ryan",621366,2026,104,15,14.4,8.7,28.2,49.5,0.31,0.253,0.373,39.7,5.1,72.3,31.1,2.0,38.8,0.364
"Gibson, Trey",694346,2026,161,30,18.6,15.5,22.7,41.2,0.391,0.291,0.487,47.6,9.6,72.5,28.3,8.0,34.6,0.385
"Webb, Jacob",657097,2026,232,63,27.2,8.6,33.8,51.2,0.3,0.24,0.369,41.6,6.2,72.0,26.7,7.0,30.0,0.271
"Hiraldo, Yaramil",682274,2026,37,13,35.1,16.2,44.0,52.1,0.295,0.169,0.32,35.3,11.8,72.0,23.1,6.0,23.1,0.384
"Garcia, Robert",676395,2026,34,6,17.6,20.6,30.6,40.5,0.333,0.239,0.31,33.3,0.0,71.6,25.0,0.0,29.7,0.285
"Aleman, Franco",680916,2026,82,22,26.8,9.8,27.3,44.9,0.277,0.203,0.305,40.0,4.0,72.1,28.5,2.0,26.8,0.329
"Alvarez, Andrew",674841,2026,317,69,21.8,10.4,26.2,44.8,0.326,0.26,0.386,42.5,5.2,72.3,31.7,18.0,36.6,0.3
"Laweryson, Cody",689520,2026,78,18,23.1,10.3,20.3,46.6,0.329,0.245,0.389,50.0,8.2,71.6,19.8,3.0,37.6,0.32
"Romano, Jordan",605447,2026,102,27,26.5,12.7,28.5,43.7,0.303,0.243,0.326,32.8,3.3,72.0,29.1,7.0,25.2,0.319
"Jansen, Kenley",445276,2026,144,40,27.8,13.9,26.5,49.1,0.299,0.206,0.362,35.7,8.3,72.2,31.0,2.0,24.4,0.291
"Vásquez, Randy",681190,2026,474,71,15.0,6.8,19.3,49.9,0.365,0.292,0.505,44.1,10.6,72.5,28.1,9.0,34.4,0.342
"Brown, Hunter",686613,2026,291,72,24.7,13.7,26.2,40.8,0.303,0.206,0.34,37.1,6.3,71.7,23.7,11.0,29.2,0.302
"Criswell, Jeff",676105,2026,18,3,16.7,16.7,27.0,46.8,0.436,0.3,0.613,25.0,16.7,72.6,26.1,0.0,35.7,0.443
"Castaño, Blas",680604,2026,85,17,20.0,7.1,19.7,45.8,0.367,0.288,0.502,50.0,10.2,72.4,27.6,3.0,40.6,0.376
"Harvey, Hunter",640451,2026,18,4,22.2,5.6,20.0,46.1,0.344,0.216,0.563,38.5,23.1,70.6,18.2,0.0,38.5,0.415
"Martinez, Nick",607259,2026,574,83,14.5,3.8,17.3,50.6,0.326,0.279,0.439,33.0,7.3,72.0,25.0,10.0,35.2,0.301
"Santos, Winston",692437,2026,9,1,11.1,11.1,15.4,39.4,0.387,0.285,0.545,14.3,14.3,72.7,30.8,0.0,27.3,0.404
"Santa, Alimber",695001,2026,59,9,15.3,10.2,18.5,45.4,0.267,0.207,0.272,34.1,2.3,72.6,32.3,0.0,30.0,0.217
"Cavalli, Cade",676917,2026,600,162,27.0,7.0,25.9,47.6,0.303,0.24,0.372,41.4,7.1,72.0,24.9,32.0,30.9,0.302
"Bednar, David",670280,2026,227,64,28.2,7.9,31.4,53.4,0.247,0.201,0.279,34.3,3.5,72.1,26.1,5.0,25.8,0.235
"Hedges, Austin",595978,2026,12,1,8.3,0.0,6.7,50.0,0.275,0.284,0.355,27.3,0.0,71.0,7.1,0.0,69.2,0.297
